2026-03-22 15:11:02 | INFO | P5 | === RUN START ===
2026-03-22 15:11:02 | INFO | P5 | project=CINTEL
2026-03-22 15:11:02 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-22 15:11:02 | INFO | P5 | python=3.14.2
2026-03-22 15:11:02 | INFO | P5 | os=Windows 10
2026-03-22 15:11:02 | INFO | P5 | shell=powershell
2026-03-22 15:11:02 | INFO | P5 | cwd=.
2026-03-22 15:11:02 | INFO | P5 | github_actions=False
2026-03-22 15:11:02 | INFO | P5 | ========================
2026-03-22 15:11:02 | INFO | P5 | START main()
2026-03-22 15:11:02 | INFO | P5 | ========================
2026-03-22 15:11:02 | INFO | P5 | ROOT_DIR = .
2026-03-22 15:11:02 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_case.csv
2026-03-22 15:11:02 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_case.csv
2026-03-22 15:11:02 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-22 15:11:02 | INFO | P5 | Loaded 15 time-series records
2026-03-22 15:11:02 | INFO | P5 | Sorted records by timestamp
2026-03-22 15:11:02 | INFO | P5 | Computed rolling mean signals
2026-03-22 15:11:02 | INFO | P5 | Wrote rolling monitoring file: C:\Repos\cintel-04-rolling-monitoring\artifacts\rolling_metrics_case.csv
2026-03-22 15:11:02 | INFO | P5 | ========================
2026-03-22 15:11:02 | INFO | P5 | Pipeline executed successfully!
2026-03-22 15:11:02 | INFO | P5 | ========================
2026-03-22 15:11:02 | INFO | P5 | END main()
2026-03-22 17:19:10 | INFO | P5 | === RUN START ===
2026-03-22 17:19:10 | INFO | P5 | project=CINTEL
2026-03-22 17:19:10 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-22 17:19:10 | INFO | P5 | python=3.14.2
2026-03-22 17:19:10 | INFO | P5 | os=Windows 10
2026-03-22 17:19:10 | INFO | P5 | shell=powershell
2026-03-22 17:19:10 | INFO | P5 | cwd=.
2026-03-22 17:19:10 | INFO | P5 | github_actions=False
2026-03-22 17:19:10 | INFO | P5 | ========================
2026-03-22 17:19:10 | INFO | P5 | START main()
2026-03-22 17:19:10 | INFO | P5 | ========================
2026-03-22 17:19:10 | INFO | P5 | ROOT_DIR = .
2026-03-22 17:19:10 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_case.csv
2026-03-22 17:19:10 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_case.csv
2026-03-22 17:19:10 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-22 17:19:10 | INFO | P5 | Loaded 15 time-series records
2026-03-22 17:19:10 | INFO | P5 | Sorted records by timestamp
2026-03-22 17:19:10 | INFO | P5 | Computed rolling mean signals
2026-03-22 17:19:10 | INFO | P5 | Wrote rolling monitoring file: C:\Repos\cintel-04-rolling-monitoring\artifacts\rolling_metrics_case.csv
2026-03-22 17:19:10 | INFO | P5 | ========================
2026-03-22 17:19:10 | INFO | P5 | Pipeline executed successfully!
2026-03-22 17:19:10 | INFO | P5 | ========================
2026-03-22 17:19:10 | INFO | P5 | END main()
2026-03-22 17:23:57 | INFO | P5 | === RUN START ===
2026-03-22 17:23:57 | INFO | P5 | project=CINTEL
2026-03-22 17:23:57 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-22 17:23:57 | INFO | P5 | python=3.14.2
2026-03-22 17:23:57 | INFO | P5 | os=Windows 10
2026-03-22 17:23:57 | INFO | P5 | shell=powershell
2026-03-22 17:23:57 | INFO | P5 | cwd=.
2026-03-22 17:23:57 | INFO | P5 | github_actions=False
2026-03-22 17:23:57 | INFO | P5 | ========================
2026-03-22 17:23:57 | INFO | P5 | START main()
2026-03-22 17:23:57 | INFO | P5 | ========================
2026-03-22 17:23:57 | INFO | P5 | ROOT_DIR = .
2026-03-22 17:23:57 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_bethspornitz.csv
2026-03-22 17:23:57 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_bethspornitz.csv
2026-03-22 17:23:57 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-22 17:23:57 | INFO | P5 | Loaded 15 time-series records
2026-03-22 17:23:57 | INFO | P5 | Sorted records by timestamp
2026-03-22 17:23:57 | INFO | P5 | Computed rolling mean signals
2026-03-22 17:23:57 | INFO | P5 | Wrote rolling monitoring file: C:\Repos\cintel-04-rolling-monitoring\artifacts\rolling_metrics_bethspornitz.csv
2026-03-22 17:23:57 | INFO | P5 | ========================
2026-03-22 17:23:57 | INFO | P5 | Pipeline executed successfully!
2026-03-22 17:23:57 | INFO | P5 | ========================
2026-03-22 17:23:57 | INFO | P5 | END main()
2026-03-22 17:32:45 | INFO | P5 | === RUN START ===
2026-03-22 17:32:45 | INFO | P5 | project=CINTEL
2026-03-22 17:32:45 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-22 17:32:45 | INFO | P5 | python=3.14.2
2026-03-22 17:32:45 | INFO | P5 | os=Windows 10
2026-03-22 17:32:45 | INFO | P5 | shell=powershell
2026-03-22 17:32:45 | INFO | P5 | cwd=.
2026-03-22 17:32:45 | INFO | P5 | github_actions=False
2026-03-22 17:32:45 | INFO | P5 | ========================
2026-03-22 17:32:45 | INFO | P5 | START main()
2026-03-22 17:32:45 | INFO | P5 | ========================
2026-03-22 17:32:45 | INFO | P5 | ROOT_DIR = .
2026-03-22 17:32:45 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_bethspornitz.csv
2026-03-22 17:32:45 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_bethspornitz.csv
2026-03-22 17:32:45 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-22 17:32:45 | INFO | P5 | Loaded 15 time-series records
2026-03-22 17:32:45 | INFO | P5 | Sorted records by timestamp
2026-03-22 17:32:45 | INFO | P5 | Computed rolling mean signals
2026-03-22 17:32:45 | INFO | P5 | Wrote rolling monitoring file: C:\Repos\cintel-04-rolling-monitoring\artifacts\rolling_metrics_bethspornitz.csv
2026-03-22 17:32:45 | INFO | P5 | ========================
2026-03-22 17:32:45 | INFO | P5 | Pipeline executed successfully!
2026-03-22 17:32:45 | INFO | P5 | ========================
2026-03-22 17:32:45 | INFO | P5 | END main()
2026-03-22 18:06:36 | INFO | P5 | === RUN START ===
2026-03-22 18:06:36 | INFO | P5 | project=CINTEL
2026-03-22 18:06:36 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-22 18:06:36 | INFO | P5 | python=3.14.2
2026-03-22 18:06:36 | INFO | P5 | os=Windows 10
2026-03-22 18:06:36 | INFO | P5 | shell=powershell
2026-03-22 18:06:36 | INFO | P5 | cwd=.
2026-03-22 18:06:36 | INFO | P5 | github_actions=False
2026-03-22 18:06:36 | INFO | P5 | ========================
2026-03-22 18:06:36 | INFO | P5 | START main()
2026-03-22 18:06:36 | INFO | P5 | ========================
2026-03-22 18:06:36 | INFO | P5 | ROOT_DIR = .
2026-03-22 18:06:36 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_bethspornitz.csv
2026-03-22 18:06:36 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_bethspornitz.csv
2026-03-22 18:06:36 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-22 18:06:36 | INFO | P5 | Loaded 15 time-series records
2026-03-22 18:06:37 | INFO | P5 | Sorted records by timestamp
2026-03-22 18:06:37 | INFO | P5 | Computed rolling mean signals
2026-03-22 18:06:37 | INFO | P5 | Wrote rolling monitoring file: C:\Repos\cintel-04-rolling-monitoring\artifacts\rolling_metrics_bethspornitz.csv
2026-03-22 18:06:37 | INFO | P5 | ========================
2026-03-22 18:06:37 | INFO | P5 | Pipeline executed successfully!
2026-03-22 18:06:37 | INFO | P5 | ========================
2026-03-22 18:06:37 | INFO | P5 | END main()
2026-03-23 14:08:57 | INFO | P5 | === RUN START ===
2026-03-23 14:08:57 | INFO | P5 | project=CINTEL
2026-03-23 14:08:57 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-23 14:08:57 | INFO | P5 | python=3.14.2
2026-03-23 14:08:57 | INFO | P5 | os=Windows 10
2026-03-23 14:08:57 | INFO | P5 | shell=powershell
2026-03-23 14:08:57 | INFO | P5 | cwd=.
2026-03-23 14:08:57 | INFO | P5 | github_actions=False
2026-03-23 14:08:57 | INFO | P5 | ========================
2026-03-23 14:08:57 | INFO | P5 | START main()
2026-03-23 14:08:57 | INFO | P5 | ========================
2026-03-23 14:08:57 | INFO | P5 | ROOT_DIR = .
2026-03-23 14:08:57 | INFO | P5 | DATA_FILE = data\healthcare_analytics_patient_flow_data.csv
2026-03-23 14:08:57 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_healthcare_bethspornitz.csv
2026-03-23 14:08:57 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-23 14:08:57 | INFO | P5 | Loaded 9216 time-series records
2026-03-23 14:10:56 | INFO | P5 | === RUN START ===
2026-03-23 14:10:56 | INFO | P5 | project=CINTEL
2026-03-23 14:10:56 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-03-23 14:10:56 | INFO | P5 | python=3.14.2
2026-03-23 14:10:56 | INFO | P5 | os=Windows 10
2026-03-23 14:10:56 | INFO | P5 | shell=powershell
2026-03-23 14:10:56 | INFO | P5 | cwd=.
2026-03-23 14:10:56 | INFO | P5 | github_actions=False
2026-03-23 14:10:56 | INFO | P5 | ========================
2026-03-23 14:10:56 | INFO | P5 | START main()
2026-03-23 14:10:56 | INFO | P5 | ========================
2026-03-23 14:10:56 | INFO | P5 | ROOT_DIR = .
2026-03-23 14:10:56 | INFO | P5 | DATA_FILE = data\healthcare_analytics_patient_flow_data.csv
2026-03-23 14:10:56 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_healthcare_bethspornitz.csv
2026-03-23 14:10:56 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-03-23 14:10:57 | INFO | P5 | Loaded 9216 time-series records
2026-03-23 14:10:57 | INFO | P5 | Sorted records by timestamp
2026-03-23 14:17:00 | INFO | P5 | === RUN START ===
2026-03-23 14:17:00 | INFO | P5 | project=CINTEL
